fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
1,Luciano Azevedo,16,9,1,0,"6' 3""",161 lbs.,nan,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,2017-12-09 13:03:05.318187
2,Michael Byrnes,5,2,0,0,"5' 11""",155 lbs.,nan,,"Jul 17, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:03:07.366982
3,Ion Cutelaba,13,3,0,1,"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",4.15,31%,3.21,50%,2.16,66%,80%,0.0,2017-12-09 13:03:10.028779
4,Rolando Dy,9,6,1,1,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",2.35,37%,2.95,52%,0.38,20%,64%,0.0,2017-12-09 13:03:12.486536
5,Jessica Eye,11,6,0,1,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 27, 1986",3.52,36%,3.43,59%,0.16,100%,61%,0.2,2017-12-09 13:03:14.743894
6,Katsuaki Furuki,1,1,0,0,"6' 0""",168 lbs.,nan,,"Nov 10, 1980",0.27,10%,2.67,39%,0.00,0%,0%,3.0,2017-12-09 13:03:16.58086
7,Mike Guymon,12,5,1,0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2,2017-12-09 13:03:18.836735
8,Solomon Hutcherson,11,7,0,1,"5' 11""",185 lbs.,nan,Southpaw,"Aug 31, 1972",2.59,39%,2.59,64%,3.53,100%,0%,0.0,2017-12-09 13:03:21.496651
9,Hiroshi Izumi,4,2,0,0,nan,205 lbs.,nan,Orthodox,"Jun 22, 1982",1.95,37%,2.65,66%,3.35,70%,100%,0.5,2017-12-09 13:03:24.161458
10,Cris Cyborg,18,1,0,1,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",7.83,51%,1.82,63%,1.00,57%,94%,0.5,2017-12-09 13:03:26.213851
11,Mike Kyle,19,9,1,2,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",4.50,51%,2.76,54%,1.55,62%,50%,0.9,2017-12-09 13:03:29.128316
12,Chris Lytle,31,18,5,0,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.70,55%,55%,2.4,2017-12-09 13:03:30.728129
13,Ho Bae Myeon,12,5,1,0,"5' 11""",168 lbs.,nan,Orthodox,nan,3.16,16%,3.16,83%,0.00,0%,0%,0.0,2017-12-09 13:03:32.761744
14,Kennedy Nzechukwu,2,0,0,0,"6' 5""",205 lbs.,"82""",Southpaw,"Jun 13, 1992",6.80,32%,4.40,53%,0.00,0%,71%,0.0,2017-12-09 13:03:35.222132
15,Alptekin Ozkilic,9,4,0,0,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",3.81,32%,5.72,59%,4.21,58%,75%,0.0,2017-12-09 13:03:38.314273
16,Mike Pyle,27,13,1,0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2.76,46%,2.75,61%,1.82,35%,70%,1.6,2017-12-09 13:03:41.481348
17,Jose Quinonez,7,2,0,0,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990",3.26,43%,2.35,67%,3.15,58%,33%,1.3,2017-12-09 13:03:43.212468
18,Michel Quinones,8,3,0,0,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984",2.91,29%,5.98,48%,0.00,0%,36%,0.0,2017-12-09 13:03:45.872998
19,Ryan Quinn,13,7,1,0,"5' 8""",145 lbs.,nan,,nan,2.31,41%,1.67,48%,0.00,0%,0%,1.9,2017-12-09 13:03:48.126328
20,Jimmy Quinlan,3,1,1,0,"6' 0""",185 lbs.,"72""",Orthodox,"May 25, 1986",2.08,70%,5.94,16%,4.46,25%,0%,0.0,2017-12-09 13:03:50.489155
21,Vinicius Queiroz,5,2,0,0,"6' 7""",220 lbs.,nan,,"Aug 29, 1983",3.67,51%,4.10,41%,5.07,70%,100%,0.7,2017-12-09 13:03:52.216751
22,Nate Quarry,12,4,0,0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",4.96,44%,2.80,66%,0.25,33%,60%,0.0,2017-12-09 13:03:54.695491
23,Gary Quan,3,5,0,0,"5' 8""",143 lbs.,nan,,"Apr 11, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:03:56.723111
24,Bao Quach,18,10,1,0,"5' 3""",145 lbs.,nan,Orthodox,"Sep 04, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:03:58.771891
25,Jens Pulver,25,15,1,0,"5' 7""",145 lbs.,"70""",Southpaw,"Dec 06, 1974",2.12,37%,3.13,56%,0.22,33%,63%,0.3,2017-12-09 13:04:01.653344
26,Josh Pulsifer,16,7,0,0,"5' 10""",145 lbs.,nan,,"Mar 16, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:04:03.687103
27,Hugh Pulley,6,3,0,0,"6' 0""",155 lbs.,nan,,nan,4.47,63%,3.27,57%,4.00,66%,69%,0.0,2017-12-09 13:04:05.53224
28,Juan Puig,11,4,0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 23, 1989",4.91,23%,7.17,51%,0.00,0%,0%,0.0,2017-12-09 13:04:07.993169
