match_id,event_name,date,location,attendance ,result,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,end_time
1,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Cub Swanson,Artem Lobov,Cub Swanson,Featherweight,f,DEC-Unanimous,5,5:00
2,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Al Iaquinta,Diego Sanchez,Al Iaquinta,Lightweight,f,KO/TKO-Punch,1,1:38
3,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Ovince Saint Preux,Marcos Rogerio de Lima,Ovince Saint Preux,Light Heavyweight,f,SUB-Other - Choke,2,2:11
4,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,John Dodson,Eddie Wineland,John Dodson,Bantamweight,f,DEC-Unanimous,3,5:00
5,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Stevie Ray,Joe Lauzon,Stevie Ray,Lightweight,f,DEC-Majority,3,5:00
6,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Mike Perry,Jake Ellenberger,Mike Perry,Welterweight,f,KO/TKO-Elbow,2,1:05
7,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Thales Leites,Sam Alvey,Thales Leites,Middleweight,f,DEC-Unanimous,3,5:00
8,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Brandon Moreno,Dustin Ortiz,Brandon Moreno,Flyweight,f,SUB-Rear Naked Choke,2,4:06
9,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Scott Holtzman,Michael McBride,Scott Holtzman,Lightweight,f,DEC-Unanimous,3,5:00
10,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Danielle Taylor,Jessica Penne,Danielle Taylor,Women's Strawweight,f,DEC-Unanimous,3,5:00
11,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Alexis Davis,Cindy Dandois,Alexis Davis,Women's Bantamweight,f,DEC-Unanimous,3,5:00
12,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Bryan Barberena,Joe Proctor,Bryan Barberena,Welterweight,f,KO/TKO-Punch,1,3:30
13,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",10144,win,Hector Sandoval,Matt Schnell,Hector Sandoval,Flyweight,f,KO/TKO-Punch,1,4:24
14,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Cody Garbrandt,Thomas Almeida,Cody Garbrandt,Bantamweight,f,KO/TKO-Punches,1,2:53
15,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Jeremy Stephens,Renan Barao,Jeremy Stephens,Featherweight,f,DEC-Unanimous,3,5:00
16,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Rick Story,Tarec Saffiedine,Rick Story,Welterweight,f,DEC-Unanimous,3,5:00
17,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Chris Camozzi,Vitor Miranda,Chris Camozzi,Middleweight,f,DEC-Unanimous,3,5:00
18,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Lorenz Larkin,Jorge Masvidal,Lorenz Larkin,Welterweight,f,DEC-Split,3,5:00
19,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Paul Felder,Joshua Burkman,Paul Felder,Lightweight,f,DEC-Unanimous,3,5:00
20,UFC Fight Night: Almeida vs Garbrandt,2016-05-29,"Las Vegas, Nevada, USA",5193,win,Sara McMann,Jessica Eye,Sara McMann,Women's Bantamweight,f,DEC-Unanimous,3,5:00
