odds_id,event_name,event_date,fighter1_name,fighter2_name,fighter1_odds,fighter2_odds,last_updated
1,UFC Fight Night 85: Hunt vs. Mir,March 19th,Frank Mir,Mark Hunt,+115,-145,2017-12-06 08:56:07.991563
2,UFC Fight Night 85: Hunt vs. Mir,March 19th,Hector Lombard,Neil Magny,-110,-120,2017-12-06 08:56:08.118998
3,UFC Fight Night 85: Hunt vs. Mir,March 19th,Jake Matthews,Johnny Case,+105,-135,2017-12-06 08:56:08.232561
4,UFC Fight Night 85: Hunt vs. Mir,March 19th,Antonio Carlos Junior,Daniel Kelly,-450,+325,2017-12-06 08:56:08.36029
5,UFC Fight Night 85: Hunt vs. Mir,March 19th,James Te Huna,Steve Bosse,-260,+200,2017-12-06 08:56:08.479906
6,UFC Fight Night 85: Hunt vs. Mir,March 19th,Bec Rawlings,Seo Hee Ham,-115,-115,2017-12-06 08:56:08.600925
7,UFC Fight Night 85: Hunt vs. Mir,March 19th,Alan Jouban,Brendan O'Reilly,-500,+350,2017-12-06 08:56:08.731598
8,UFC Fight Night 85: Hunt vs. Mir,March 19th,Daniel Hooker,Mark Eddiva,-175,+145,2017-12-06 08:56:08.85094
9,UFC Fight Night 85: Hunt vs. Mir,March 19th,Richard Walsh,Viscardi Andrade,-135,+105,2017-12-06 08:56:08.977851
10,UFC Fight Night 85: Hunt vs. Mir,March 19th,Chad Laprise,Ross Pearson,-120,-110,2017-12-06 08:56:09.116876
11,UFC Fight Night 85: Hunt vs. Mir,March 19th,Leslie Smith,Rin Nakai,-140,+110,2017-12-06 08:56:09.241722
12,UFC Fight Night 85: Hunt vs. Mir,March 19th,Alan Patrick,Damien Brown,-300,+230,2017-12-06 08:56:09.372936
13,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Cody Garbrandt,Thomas Almeida,+160,-200,2017-12-06 08:56:11.52215
14,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Jeremy Stephens,Renan Barao,+135,-165,2017-12-06 08:56:11.645213
15,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Rick Story,Tarec Saffiedine,-135,+105,2017-12-06 08:56:11.775954
16,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Chris Camozzi,Vitor Miranda,+125,-155,2017-12-06 08:56:11.913516
17,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Jorge Masvidal,Lorenz Larkin,-130,+100,2017-12-06 08:56:12.040752
18,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Josh Burkman,Paul Felder,+230,-300,2017-12-06 08:56:12.181324
19,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Jessica Eye,Sara McMann,+110,-140,2017-12-06 08:56:12.316249
20,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Abel Trujillo,Jordan Rinaldi,-300,+230,2017-12-06 08:56:12.4452
21,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Alberto Pereira,Jake Collier,-145,+115,2017-12-06 08:56:12.580461
22,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Erik Koch,Shane Campbell,+110,-140,2017-12-06 08:56:12.720453
23,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Aljamain Sterling,Bryan Caraway,-315,+245,2017-12-06 08:56:12.850846
24,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th,Adam Milstead,Chris Delarocha,-285,+225,2017-12-06 08:56:12.985945
25,UFC Fight Night 84: Silva vs. Bisping,February 27th,Anderson Silva,Michael Bisping,-270,+210,2017-12-06 08:56:17.982049
26,UFC Fight Night 84: Silva vs. Bisping,February 27th,Gegard Mousasi,Thales Leites,-315,+245,2017-12-06 08:56:18.116819
27,UFC Fight Night 84: Silva vs. Bisping,February 27th,Keita Nakamura,Tom Breese,+700,-1200,2017-12-06 08:56:18.247636
28,UFC Fight Night 84: Silva vs. Bisping,February 27th,Brad Pickett,Francisco Rivera,+140,-170,2017-12-06 08:56:18.378258
29,UFC Fight Night 84: Silva vs. Bisping,February 27th,Makwan Amirkhani,Mike Wilkinson,-175,+145,2017-12-06 08:56:18.518342
30,UFC Fight Night 84: Silva vs. Bisping,February 27th,Davey Grant,Marlon Vera,-185,+150,2017-12-06 08:56:18.649352
31,UFC Fight Night 84: Silva vs. Bisping,February 27th,Chris Dempsey,Scott Askham,+270,-360,2017-12-06 08:56:18.777641
32,UFC Fight Night 84: Silva vs. Bisping,February 27th,Arnold Allen,Yaotzin Meza,-360,+270,2017-12-06 08:56:18.915966
33,UFC Fight Night 84: Silva vs. Bisping,February 27th,Brad Scott,Krzysztof Jotko,+135,-165,2017-12-06 08:56:19.049821
34,UFC Fight Night 84: Silva vs. Bisping,February 27th,Norman Parke,Rustam Khabilov,+165,-205,2017-12-06 08:56:19.183253
35,UFC Fight Night 84: Silva vs. Bisping,February 27th,Daniel Omielanczuk,Jarjis Danho,-115,-115,2017-12-06 08:56:19.321238
36,UFC Fight Night 84: Silva vs. Bisping,February 27th,Teemu Packalen,Thibault Gouti,-125,-105,2017-12-06 08:56:19.458461
37,UFC Fight Night 84: Silva vs. Bisping,February 27th,David Teymur,Martin Svensson,-120,-110,2017-12-06 08:56:19.605643
38,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Jake Ellenberger,Stephen Thompson,+195,-250,2017-12-06 08:56:23.518139
39,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Hayder Hassan,Kamaru Usman,+185,-235,2017-12-06 08:56:23.615361
40,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Mike Graves,Vicente Luque,+155,-190,2017-12-06 08:56:23.717166
41,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Cezar Ferreira,Jorge Masvidal,+160,-200,2017-12-06 08:56:23.822911
42,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Angela Magana,Michelle Waterson,+575,-950,2017-12-06 08:56:23.928582
43,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Maximo Blanco,Mike De La Torre,+150,-185,2017-12-06 08:56:24.035031
44,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Caio Magalhaes,Josh Samman,-120,-110,2017-12-06 08:56:24.137643
45,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Jerrod Sanders,Russell Doane,+350,-500,2017-12-06 08:56:24.240628
46,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Dan Miller,Trevor Smith,-105,-125,2017-12-06 08:56:24.342347
47,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Dominic Waters,George Sullivan,+200,-260,2017-12-06 08:56:24.444789
48,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,July 12th,Darrell Montague,Willie Gates,-110,-120,2017-12-06 08:56:24.546753
